cas,npa,localite,canton,region,no,commune,district
,1000,Lausanne 25,VD,1,5586,Lausanne,DISTRICT DE LAUSANNE
,1000,Lausanne 26,VD,1,5586,Lausanne,DISTRICT DE LAUSANNE
,1000,Lausanne 27,VD,1,5586,Lausanne,DISTRICT DE LAUSANNE
,1000,Lausanne,VD,1,5586,Lausanne,DISTRICT DE LAUSANNE
,1000,Le Chalet-à-Gobet,VD,1,5586,Lausanne,DISTRICT DE LAUSANNE
,1000,Montblesson,VD,1,5586,Lausanne,DISTRICT DE LAUSANNE
,1000,Vers-chez-les-Blanc,VD,1,5586,Lausanne,DISTRICT DE LAUSANNE
,1003,Lausanne,VD,1,5586,Lausanne,DISTRICT DE LAUSANNE
,1004,Lausanne,VD,1,5586,Lausanne,DISTRICT DE LAUSANNE
,1005,Lausanne,VD,1,5586,Lausanne,DISTRICT DE LAUSANNE
+,1006,Lausanne,VD,1,5586,Lausanne,DISTRICT DE LAUSANNE
+,1006,Lausanne,VD,1,5590,Pully,DISTRICT DE LAVAUX-ORON
,1007,Lausanne,VD,1,5586,Lausanne,DISTRICT DE LAUSANNE
,1008,Jouxtens-Mézery,VD,1,5585,Jouxtens-Mézery,DISTRICT DE LAUSANNE
+,1008,Prilly,VD,1,5586,Lausanne,DISTRICT DE LAUSANNE
+,1008,Prilly,VD,1,5589,Prilly,DISTRICT DE L'OUEST LAUSANNOIS
+,1008,Prilly,VD,1,5591,Renens (VD),DISTRICT DE L'OUEST LAUSANNOIS
,1009,Pully,VD,1,5590,Pully,DISTRICT DE LAVAUX-ORON
,1010,Lausanne,VD,1,5586,Lausanne,DISTRICT DE LAUSANNE
,1011,Lausanne,VD,1,5586,Lausanne,DISTRICT DE LAUSANNE
,1012,Lausanne,VD,1,5586,Lausanne,DISTRICT DE LAUSANNE
+,1015,Lausanne,VD,1,5627,Chavannes-près-Renens,DISTRICT DE L'OUEST LAUSANNOIS
+,1015,Lausanne,VD,1,5635,Ecublens (VD),DISTRICT DE L'OUEST LAUSANNOIS
+,1015,Lausanne,VD,1,5648,Saint-Sulpice (VD),DISTRICT DE L'OUEST LAUSANNOIS
,1018,Lausanne,VD,1,5586,Lausanne,DISTRICT DE LAUSANNE
,1020,Renens VD,VD,1,5591,Renens (VD),DISTRICT DE L'OUEST LAUSANNOIS
,1022,Chavannes-Renens,VD,1,5627,Chavannes-près-Renens,DISTRICT DE L'OUEST LAUSANNOIS
+,1023,Crissier,VD,1,5583,Crissier,DISTRICT DE L'OUEST LAUSANNOIS
+,1023,Crissier,VD,1,5586,Lausanne,DISTRICT DE LAUSANNE
+,1024,Ecublens VD,VD,1,5635,Ecublens (VD),DISTRICT DE L'OUEST LAUSANNOIS
+,1024,Ecublens VD,VD,1,5648,Saint-Sulpice (VD),DISTRICT DE L'OUEST LAUSANNOIS
,1025,St-Sulpice VD,VD,1,5648,Saint-Sulpice (VD),DISTRICT DE L'OUEST LAUSANNOIS
+,1026,Denges,VD,1,5632,Denges,DISTRICT DE MORGES
+,1026,Denges,VD,1,5633,Echandens,DISTRICT DE MORGES
,1026,Echandens,VD,1,5633,Echandens,DISTRICT DE MORGES
